-0.19426673704544112
-0.12678560285514004,-0.26505568082480335
-0.07633734950273591,-0.18038743131472562,-0.3530878579791168
-0.041603983921678245,-0.11364614450113199,-0.2508338260502384,-0.4581875369693972
-0.01998697176757047,-0.06504180763437634,-0.16560264717097006,-0.3400411271903006,-0.5777686054285702
-0.008138769430267095,-0.03293706759391738,-0.09973069955678396,-0.23559031046462062,-0.44816007822205295,-0.7061786286601179
-0.0026374799501986605,-0.01419380499617336,-0.05337480997455343,-0.14960317693088437,-0.32623342827484647,-0.5724782913104334,-0.8345772634554786
-0.0006052622696253726,-0.004887873620007598,-0.02442071600809334,-0.08485444174662982,-0.2188836448378862,-0.43821092734696215,-0.7064656526275446,-0.9517814914908764
-7.377352568658587e-05,-0.001196929812268933,-0.008971468747568526,-0.04136730909311811,-0.1319617361041363,-0.3112231533500216,-0.5687431363469924,-0.8395003175888575,-1.0463726625326166
-0.0,-0.00015627806747094193,-0.002354974744429641,-0.016284116782160404,-0.0688181704510104,-0.2000388180239097,-0.4281844112965541,-0.7101364223973274,-0.9579695815909763,-1.1098881663481261
-0.0,-0.0,-0.00033105147334571675,-0.004606211008611522,-0.029174116384965178,-0.11207750243454946,-0.29427449311618986,-0.5670834142940527,-0.8491936823760744,-1.048282938175557,-1.1401016724051103
-0.0,-0.0,-0.0,-0.0007012825265755705,-0.008947405517085281,-0.051464468627386635,-0.17796493486868026,-0.4177820857128111,-0.7186378371121774,-0.9686822521815128,-1.1015589855329249,-1.142557273997942
-0.0,-0.0,-0.0,-0.0,-0.0014855610733580174,-0.01723753248066589,-0.08910604396333857,-0.27405208091370387,-0.5684095980106081,-0.8656705713966527,-1.0519411885734946,-1.1182313680949574,-1.1284983274280305
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0031469366753697566,-0.032879609947671036,-0.1507735262087723,-0.406356831817563,-0.7346461798313401,-0.9850924164341331,-1.0903505964079216,-1.1091768286756516,-1.1091768286756503
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006666309865269722,-0.06194923228269553,-0.2478240928378445,-0.5745068033073264,-0.8925380311633049,-1.0556650131042253,-1.0901861415026652,-1.0901861415026695,-1.0901861415026655
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014121570213855981,-0.11491614654156096,-0.3922210345778437,-0.7638925657006957,-1.0082201874499526,-1.0715206019436412,-1.0715206019436412,-1.0715206019436423,-1.0715206019436403
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.029914412821372135,-0.20887387233039562,-0.5895594892320404,-0.9371024674749668,-1.053174643008293,-1.0531746430082967,-1.0531746430082967,-1.0531746430082967,-1.0531746430082962
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06336916369041114,-0.3692605219637787,-0.8223045353130047,-1.0351427930211565,-1.0351427930211543,-1.0351427930211579,-1.0351427930211579,-1.035142793021155,-1.035142793021159
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1342379986129351,-0.6271441946501869,-1.0174196739896249,-1.0174196739896266,-1.0174196739896246,-1.017419673989627,-1.0174196739896255,-1.0174196739896266,-1.0174196739896273
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28436291757994386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.000000000000001
