1.3062204127553176
0.8222172298225582,1.7913514144096623
0.4774910009335749,1.1676533787035646,2.416596141349782
0.25098002912330386,0.7044142487157895,1.6319006856635905,3.2033781379781527
0.11626102521666565,0.3859157345703752,1.023520969232575,2.241689420149359,4.167832721200757
0.04563293718753521,0.18698949550865893,0.5851751815548528,1.4627504868687047,3.0225638761575224,5.316700162411607
0.014248014196484917,0.07705726063533724,0.2970831811231534,0.8737724347897697,2.0529915090926387,3.9947459897042625,6.643244888077449
0.0031491314591977552,0.025359198974835965,0.1288218551874776,0.46560101504956874,1.2826982883917737,2.8250573266972117,5.167883802082407,8.124341894200276
0.000369688170957427,0.005931293775085894,0.04480899985091212,0.21294593807692086,0.7186581019253189,1.8478459840731105,3.804707884412034,6.535521781473797,9.72017673797778
0.0,0.0007396955386111258,0.0111280132178268,0.07852867553558006,0.34754706270868946,1.0903896459616982,2.6068977920417478,5.005803043177164,8.070883429457412,11.377862655582463
0.0,0.0,0.0014800297462160693,0.02078560485473533,0.1363395495592492,0.5590546554466335,1.6226661022849291,3.593380333267747,6.422547870803878,9.72618756197688,13.03936163984944
0.0,0.0,0.0,0.002961337381860282,0.038627819064673836,0.23416899854527046,0.884423012128711,2.362310237158538,4.827553031031363,8.023088076165717,11.437684846746727,14.652296897474171
0.0,0.0,0.0,0.0,0.005925231645933993,0.07136375857092489,0.39717642505566714,1.3724332290004773,3.354226914644718,6.305047360251521,9.748056098412649,13.137189137505178,16.180055764862576
0.0,0.0,0.0,0.0,0.0,0.01185557926396179,0.13093355487772432,0.6637622258780677,2.0822892204102215,4.6290607203423635,7.986477913288919,11.518050964258478,14.76767024163368,17.60641149528599
0.0,0.0,0.0,0.0,0.0,0.0,0.023721394889351224,0.23825876570578175,1.0898387925932587,3.076537541403252,6.185580729596461,9.794270793314228,13.251776067456744,16.296315139050026,18.931709604848116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04746327133985176,0.42925997780045083,1.7513585975756194,4.4043728337329995,7.972129388536807,11.624868781572589,14.890125221035804,17.716575645096096,20.163189608740517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09496752348622134,0.7639230643867403,2.7403062913426575,6.072242206097686,9.878899878484747,13.380874845709055,16.412232049857725,19.036216111750498,21.307572436120378
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19001704396918567,1.3384886723635252,4.144489949550754,8.005237366809306,11.761092044208478,15.012210981558727,17.826423791335674,20.262444709465324,22.371097577844377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3801981527298231,2.2979348718262824,5.994623468793119,10.02276315847289,13.509575709079517,16.52780811899737,19.140431180335618,21.401953267967762,23.35955757320892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607245766996097,3.837129253209854,8.157293570858434,11.896886614777308,15.133929260816773,17.93595744121401,20.361431178282757,22.460954263156314,24.278330026311004
0,0,0,0,0,0,0,0,0,0,0,0,1.522105979315576,6.155465586804205,10.166164737148097,13.637880519486863,16.64304496127917,19.24435621151319,21.496086641465403,23.445215154524593,25.132407328989707
